motivation,num_recipients,recipients,title,year
"“as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories”",1,['Paul Johann Ludwig Heyse'],The Nobel Prize in Literature,1910
,1,['Bureau international permanent de la Paix (Permanent International Peace Bureau) '],The Nobel Peace Prize,1910
“in recognition of their contributions to the development of wireless telegraphy”,2,"['Guglielmo Marconi', 'Karl Ferdinand Braun']",The Nobel Prize in Physics,1909
“in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction”,1,['Wilhelm Ostwald'],The Nobel Prize in Chemistry,1909
"“for his work on the physiology, pathology and surgery of the thyroid gland”",1,['Emil Theodor Kocher'],The Nobel Prize in Physiology or Medicine,1909
"“in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings”",1,['Selma Ottilia Lovisa Lagerlöf'],The Nobel Prize in Literature,1909
,2,"['Auguste Marie François Beernaert', 'Paul Henri Benjamin Balluet d’Estournelles de Constant, Baron de Constant de Rebecque']",The Nobel Peace Prize,1909
“for his method of reproducing colours photographically based on the phenomenon of interference”,1,['Gabriel Lippmann'],The Nobel Prize in Physics,1908
"“for his investigations into the disintegration of the elements, and the chemistry of radioactive substances”",1,['Ernest Rutherford'],The Nobel Prize in Chemistry,1908
“in recognition of their work on immunity”,2,"['Ilya Ilyich Mechnikov', 'Paul Ehrlich']",The Nobel Prize in Physiology or Medicine,1908
"“in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life”",1,['Rudolf Christoph Eucken'],The Nobel Prize in Literature,1908
,2,"['Klas Pontus Arnoldson', 'Fredrik Bajer']",The Nobel Peace Prize,1908
“for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid”,1,['Albert Abraham Michelson'],The Nobel Prize in Physics,1907
“for his biochemical researches and his discovery of cell-free fermentation”,1,['Eduard Buchner'],The Nobel Prize in Chemistry,1907
“in recognition of his work on the role played by protozoa in causing diseases”,1,['Charles Louis Alphonse Laveran'],The Nobel Prize in Physiology or Medicine,1907
"“in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author”",1,['Rudyard Kipling'],The Nobel Prize in Literature,1907
,2,"['Ernesto Teodoro Moneta', 'Louis Renault']",The Nobel Peace Prize,1907
“in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases”,1,['Joseph John Thomson'],The Nobel Prize in Physics,1906
"“in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him”",1,['Henri Moissan'],The Nobel Prize in Chemistry,1906
“in recognition of their work on the structure of the nervous system”,2,"['Camillo Golgi', 'Santiago Ramón y Cajal']",The Nobel Prize in Physiology or Medicine,1906
"“not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces”",1,['Giosuè Carducci'],The Nobel Prize in Literature,1906
,1,['Theodore Roosevelt'],The Nobel Peace Prize,1906
“for his work on cathode rays”,1,['Philipp Eduard Anton von Lenard'],The Nobel Prize in Physics,1905
"“in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds”",1,['Johann Friedrich Wilhelm Adolf von Baeyer'],The Nobel Prize in Chemistry,1905
“for his investigations and discoveries in relation to tuberculosis”,1,['Robert Koch'],The Nobel Prize in Physiology or Medicine,1905
“because of his outstanding merits as an epic writer”,1,['Henryk Sienkiewicz'],The Nobel Prize in Literature,1905
,1,"['Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau']",The Nobel Peace Prize,1905
“for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies”,1,['Lord Rayleigh (John William Strutt)'],The Nobel Prize in Physics,1904
"“in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system”",1,['Sir William Ramsay'],The Nobel Prize in Chemistry,1904
"“in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged”",1,['Ivan Petrovich Pavlov'],The Nobel Prize in Physiology or Medicine,1904
"“in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist”",2,"['Frédéric Mistral', 'José Echegaray y Eizaguirre']",The Nobel Prize in Literature,1904
,1,['Institut de droit international (Institute of International Law) '],The Nobel Peace Prize,1904
“in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity”,3,"['Antoine Henri Becquerel', 'Pierre Curie', 'Marie Curie, née Sklodowska']",The Nobel Prize in Physics,1903
“in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation”,1,['Svante August Arrhenius'],The Nobel Prize in Chemistry,1903
"“in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science”",1,['Niels Ryberg Finsen'],The Nobel Prize in Physiology or Medicine,1903
"“as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit”",1,['Bjørnstjerne Martinus Bjørnson'],The Nobel Prize in Literature,1903
,1,['William Randal Cremer'],The Nobel Peace Prize,1903
“in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena”,2,"['Hendrik Antoon Lorentz', 'Pieter Zeeman']",The Nobel Prize in Physics,1902
“in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses”,1,['Hermann Emil Fischer'],The Nobel Prize in Chemistry,1902
"“for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it”",1,['Ronald Ross'],The Nobel Prize in Physiology or Medicine,1902
"“the greatest living master of the art of historical writing, with special reference to his monumental work, A history of Rome”",1,['Christian Matthias Theodor Mommsen'],The Nobel Prize in Literature,1902
,2,"['Élie Ducommun', 'Charles Albert Gobat']",The Nobel Peace Prize,1902
“in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him”,1,['Wilhelm Conrad Röntgen'],The Nobel Prize in Physics,1901
“in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions”,1,['Jacobus Henricus van ‘t Hoff'],The Nobel Prize in Chemistry,1901
"“for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths”",1,['Emil Adolf von Behring'],The Nobel Prize in Physiology or Medicine,1901
"“in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect”",1,['Sully Prudhomme'],The Nobel Prize in Literature,1901
,2,"['Jean Henry Dunant', 'Frédéric Passy']",The Nobel Peace Prize,1901
